City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Flinders,AU,2022-04-20 19:48:39,-34.5833,150.8552,58.05,81,0,1.99
132,Borogontsy,RU,2022-04-20 19:50:47,62.6683,131.1683,11.66,98,100,2.28
133,Luwuk,ID,2022-04-20 19:50:48,-0.9516,122.7875,77.11,85,98,2.44
134,Mahebourg,MU,2022-04-20 19:50:48,-20.4081,57.7,77.29,88,40,1.14
135,Qaanaaq,GL,2022-04-20 19:50:49,77.484,-69.3632,-0.17,77,100,8.32
136,Castro,BR,2022-04-20 19:50:49,-24.7911,-50.0119,69.57,64,0,2.62
137,Puerto Escondido,MX,2022-04-20 19:50:49,15.85,-97.0667,89.1,48,0,9.37
138,Quatre Cocos,MU,2022-04-20 19:50:50,-20.2078,57.7625,77.11,81,100,5.08
139,Mar Del Plata,AR,2022-04-20 19:51:50,-38.0023,-57.5575,66.22,88,20,6.91
140,Charlottetown,CA,2022-04-20 19:50:31,46.2352,-63.1267,52.09,47,75,24.16
141,Saint-Philippe,RE,2022-04-20 19:51:51,-21.3585,55.7679,76.59,86,47,3.36
142,Kostomuksha,RU,2022-04-20 19:51:52,64.571,30.5767,40.06,97,82,4.07
143,Narsaq,GL,2022-04-20 19:51:52,60.9167,-46.05,34.63,47,55,3.09
144,Media Luna,CU,2022-04-20 19:51:53,20.1419,-77.435,83.7,65,22,14.79
145,Savannah Bight,HN,2022-04-20 19:51:53,16.45,-85.85,80.98,71,12,7.27
146,Touros,BR,2022-04-20 19:42:38,-5.1989,-35.4608,81.86,74,97,11.97
147,Edd,ER,2022-04-20 19:51:54,13.9297,41.6925,89.33,42,2,22.79
148,Quelimane,MZ,2022-04-20 19:51:54,-17.8786,36.8883,75.15,94,75,12.66
149,Huron,US,2022-04-20 19:51:54,41.1501,-82.5499,56.97,48,100,9.31
150,Tiksi,RU,2022-04-20 19:51:55,71.6872,128.8694,6.12,99,100,4.32
151,Deputatskiy,RU,2022-04-20 19:51:55,69.3,139.9,7.43,88,94,2.98
152,Alofi,NU,2022-04-20 19:50:37,-19.0595,-169.9187,76.89,94,76,3.44
153,Baruun-Urt,MN,2022-04-20 19:51:56,46.6806,113.2792,33.85,36,100,21.23
154,Longyearbyen,SJ,2022-04-20 19:51:56,78.2186,15.6401,30.04,64,75,18.41
155,Yubari,JP,2022-04-20 19:51:57,43.0378,141.9578,42.48,57,0,6.64
156,San Miguel,SV,2022-04-20 19:51:58,13.4833,-88.1833,99.52,25,24,4.72
157,Khatanga,RU,2022-04-20 19:51:58,71.9667,102.5,-16.4,100,100,1.7
158,Carcassonne,FR,2022-04-20 19:51:49,43.25,2.1667,51.4,95,100,6.91
159,San Cristobal,VE,2022-04-20 19:51:59,7.7669,-72.225,80.78,72,99,0.87
160,Matay,EG,2022-04-20 19:51:59,28.419,30.7792,67.82,38,0,16.91
161,Hornepayne,CA,2022-04-20 19:51:59,49.2138,-84.7705,41.14,53,100,12.19
162,Susanville,US,2022-04-20 19:49:01,40.4163,-120.653,54.66,39,30,13.0
163,Porec,HR,2022-04-20 19:52:00,45.2258,13.5939,49.35,64,39,4.32
164,Flin Flon,CA,2022-04-20 19:52:00,54.7682,-101.865,31.84,86,100,9.22
165,Grand Forks,US,2022-04-20 19:52:01,47.9417,-97.4337,41.79,76,20,12.66
166,Pyaozerskiy,RU,2022-04-20 19:52:01,65.8333,31.1667,37.04,100,100,3.4
167,Thinadhoo,MV,2022-04-20 19:52:02,0.5333,72.9333,83.32,73,43,4.25
168,Port Elizabeth,ZA,2022-04-20 19:51:01,-33.918,25.5701,69.31,78,0,4.61
169,Carnarvon,AU,2022-04-20 19:52:03,-24.8667,113.6333,66.27,55,69,8.05
170,Tanete,ID,2022-04-20 19:52:03,-3.9443,119.7848,74.32,94,83,2.01
171,Nanortalik,GL,2022-04-20 19:52:04,60.1432,-45.2371,30.56,63,84,10.67
172,Hithadhoo,MV,2022-04-20 19:52:05,-0.6,73.0833,83.08,70,96,3.8
173,Isangel,VU,2022-04-20 19:52:06,-19.55,169.2667,78.57,80,52,7.4
174,Gat,IL,2022-04-20 19:52:07,31.61,34.7642,61.81,100,0,5.93
175,Leningradskiy,RU,2022-04-20 19:52:07,69.3833,178.4167,15.67,92,63,4.14
176,Bethel,US,2022-04-20 19:49:41,41.3712,-73.414,58.19,38,0,10.0
177,Vila Velha,BR,2022-04-20 19:52:08,-20.3297,-40.2925,80.55,77,20,13.8
178,Manokwari,ID,2022-04-20 19:52:08,-0.8667,134.0833,78.46,80,89,3.13
179,Asau,RO,2022-04-20 19:52:09,46.4333,26.4,41.95,80,94,3.94
180,Ballina,AU,2022-04-20 19:52:09,-28.8667,153.5667,64.36,91,75,3.44
181,Mackay,AU,2022-04-20 19:49:00,-21.15,149.2,75.18,83,100,14.97
182,Omboue,GA,2022-04-20 19:52:10,-1.5746,9.2618,78.39,92,97,5.26
183,Pangnirtung,CA,2022-04-20 19:52:10,66.1451,-65.7125,17.6,53,75,12.66
184,Kingman,US,2022-04-20 19:52:11,35.1894,-114.053,77.18,13,2,5.99
