City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Naliya,IN,82.63,clear sky,23.2667,68.8333,jadeja jayendrasinh
221,Carutapera,BR,84.9,broken clouds,-1.195,-46.02,Lidera
225,Fare,PF,81.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
227,Itaquyry,PY,88.75,clear sky,-24.9333,-55.2167,Posada Santa Celina
229,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
231,Liberty,US,84.31,clear sky,31.8335,-81.5004,Sasser’s Mobile Home Park
234,Sinnamary,GF,83.66,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
238,Najran,SA,75.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
240,Hirara,JP,78.69,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
245,Kavaratti,IN,85.96,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
248,Iralaya,HN,80.71,overcast clouds,15.0,-83.2333,Iglesia morava renovada
249,Bowen,AU,75.07,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
250,Meulaboh,ID,76.42,overcast clouds,4.1363,96.1285,Kost Pria
251,Bria,CF,88.36,broken clouds,6.5423,21.9863,WFP Guesthouse
259,Santa Fe,AR,80.02,light rain,-31.6333,-60.7,Conquistador Hotel
260,Lorengau,PG,81.61,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
267,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
269,Tikapur,NP,84.67,clear sky,28.5,81.1333,BANANA AGRO RESORT
272,Bairiki,KI,79.5,light rain,1.3292,172.9752,Tarawa Boutique Hotel
273,Jacqueville,CI,82.65,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
279,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
281,Gizo,SB,82.04,light rain,-8.103,156.8419,Imagination Island
282,Porto Walter,BR,87.21,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
283,Puerto Leguizamo,CO,88.39,moderate rain,-0.1934,-74.7819,la casona de juancho
288,Corrente,BR,89.08,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
289,Camopi,GF,84.72,broken clouds,3.1655,-52.3158,La pousada
292,Lumberton,US,83.82,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
300,Sakakah,SA,82.71,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
305,Oranjestad,AW,78.85,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
311,Odweyne,SO,81.19,overcast clouds,9.4092,45.064,Eng Hiirey House
322,Berbera,SO,87.35,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
329,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
330,Sao Felix Do Xingu,BR,88.66,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
332,Tiarei,PF,77.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
335,Boyuibe,BO,88.47,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
337,Aboisso,CI,86.29,light rain,5.4678,-3.2071,Residence Belle Vue
339,Rio Grande,BR,82.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
342,Hambantota,LK,81.73,few clouds,6.1241,81.1185,Bungalow 63
343,Banjar,ID,77.4,broken clouds,-8.19,114.9675,The Hamsa Resort
344,Roura,GF,87.71,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
348,Bac Lieu,VN,83.64,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
353,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
354,Altar,MX,79.74,clear sky,30.7,-111.8167,Hotel Maria Elena
356,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
359,Victoria,HK,82.45,broken clouds,22.2855,114.1577,Mini Hotel Central
361,Sangmelima,CM,78.85,light rain,2.9333,11.9833,gamestar hotel
362,Qingyuan,CN,80.58,scattered clouds,23.7,113.0333,Guojin Commercial Hotel
366,Axim,GH,84.13,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
369,Tagusao,PH,81.36,overcast clouds,9.1924,117.8141,Green Villa beach resort
375,Mana,GF,83.1,overcast clouds,5.6592,-53.7767,LE SAMANA
380,Shetpe,KZ,75.65,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
